tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10665	Escherichia virus T4	1258548	0	live	dam	T4p032	Dam family site-specific DNA-(adenine-N6)-methyltransferase	Dam family site-specific DNA-(adenine-N6)-methyltransferase			NC_000866.4	16846	17625	minus	0		
10665	Escherichia virus T4	1258809	0	live	13	T4p159	putative neck protein	putative neck protein			NC_000866.4	93624	94553	plus	0		
10665	Escherichia virus T4	1258717	0	live	rnlA	T4p228, 63	T4 RnlA family RNA ligase	T4 RnlA family RNA ligase			NC_000866.4	136340	137464	minus	0		
10665	Escherichia virus T4	1258695	0	live	14	T4p160	neck protein	neck protein			NC_000866.4	94555	95325	plus	0		
10665	Escherichia virus T4	1258662	0	live	6	T4p151	baseplate wedge subunit	baseplate wedge subunit			NC_000866.4	81081	83063	plus	0		
10665	Escherichia virus T4	1258621	0	live	21	T4p173	prohead core scaffolding protein and protease	prohead core scaffolding protein and protease			NC_000866.4	103514	104086	plus	0		
10665	Escherichia virus T4	1258549	0	live	7	T4p152	baseplate wedge subunit	baseplate wedge subunit			NC_000866.4	83060	86158	plus	0		
10665	Escherichia virus T4	1258542	0	live	8	T4p153	baseplate wedge subunit	baseplate wedge subunit			NC_000866.4	86151	87155	plus	0		
10665	Escherichia virus T4	1258617	0	live	9	T4p154	baseplate wedge tail fiber connector	baseplate wedge tail fiber connector			NC_000866.4	87219	88085	plus	0		
10665	Escherichia virus T4	1258818	0	live	5.4	T4p150	PAAR domain-containing protein	PAAR domain-containing protein			NC_000866.4	80779	81072	plus	0		
10665	Escherichia virus T4	1258540	0	live	nrdC	T4p084	NrdC thioredoxin	NrdC thioredoxin			NC_000866.4	48128	48391	minus	0		
10665	Escherichia virus T4	1258770	0	live	td	T4p237	thymidylate synthase	thymidylate synthase			NC_000866.4	143235	145112	minus	0		
10665	Escherichia virus T4	1258746	0	live	42	T4p044	thymidylate synthase	thymidylate synthase			NC_000866.4	25479	26219	minus	0		
10665	Escherichia virus T4	1258601	0	live	nrdB	T4p230	ribonucleotide-diphosphate reductase subunit beta	ribonucleotide-diphosphate reductase subunit beta			NC_000866.4	137955	139719	minus	0		
10665	Escherichia virus T4	1258544	0	live	56	T4p031	dUTP diphosphatase	dUTP diphosphatase			NC_000866.4	16270	16785	minus	0		
10665	Escherichia virus T4	1258631	0	live	54	T4p196	baseplate subunit	baseplate subunit			NC_000866.4	121753	122715	plus	0		
10665	Escherichia virus T4	1258551	0	live	48	T4p195	baseplate tail-tube junction protein	baseplate tail-tube junction protein			NC_000866.4	120659	121753	plus	0		
10665	Escherichia virus T4	1258727	0	live	19	T4p168	tail protein	tail protein			NC_000866.4	100632	101123	plus	0		
10665	Escherichia virus T4	1258824	0	live	mobB	T4p060, a-gt.1	MobB homing endonuclease	MobB homing endonuclease			NC_000866.4	37885	38679	minus	0		
10665	Escherichia virus T4	1258823	0	live	a-gt	T4p059	a-gt alpha glucosyl transferase	a-gt alpha glucosyl transferase			NC_000866.4	36624	37826	minus	0		
10665	Escherichia virus T4	1258819	0	live	repEA	T4p146	RepEA oriE replication initiation protein	RepEA oriE replication initiation protein			NC_000866.4	79085	79237	minus	0		
10665	Escherichia virus T4	1258816	0	live	repEB	T4p145	RepEB oriE replication initiation protein	RepEB oriE replication initiation protein			NC_000866.4	77981	78118	minus	0		
10665	Escherichia virus T4	1258814	0	live	a-gt.4	T4p063	a-gt.4 family protein	a-gt.4 family protein			NC_000866.4	39079	39396	minus	0		
10665	Escherichia virus T4	1258807	0	live	39	T4p006	DNA topoisomerase II large subunit	DNA topoisomerase II large subunit			NC_000866.4	3778	5328	minus	0		
10665	Escherichia virus T4	1258806	0	live	55	T4p065	RNA polymerase sigma factor	RNA polymerase sigma factor			NC_000866.4	39600	40157	minus	0		
10665	Escherichia virus T4	1258803	0	live	segF	T4p030, 69	SegF homing endonuclease	SegF homing endonuclease			NC_000866.4	15606	16280	minus	0		
10665	Escherichia virus T4	1258800	0	live	I-TevII	T4p077	I-TevII homing endonuclease	I-TevII homing endonuclease			NC_000866.4	44836	45612	minus	0		
10665	Escherichia virus T4	1258799	0	live	2	T4p141, 64	DNA end protector protein	DNA end protector protein			NC_000866.4	76061	76885	minus	0		
10665	Escherichia virus T4	1258797	0	live	srd	T4p019, dda.2	Srd anti-sigma factor, putative	Srd anti-sigma factor, putative			NC_000866.4	11039	11785	minus	0		
10665	Escherichia virus T4	1258795	0	live	nrdA	T4p234	ribonucleoside-diphosphate reductase subunit alpha	ribonucleoside-diphosphate reductase subunit alpha			NC_000866.4	140416	142680	minus	0		
10665	Escherichia virus T4	1258782	0	live	mobA	T4p005	MobA homing endonuclease pseudogene	MobA homing endonuclease pseudogene			NC_000866.4	3654	3767	minus	0		
10665	Escherichia virus T4	1258779	0	live	60	T4p003	gp60 topoisomerase II, large subunit, C-terminal region	gp60 topoisomerase II, large subunit, C-terminal region			NC_000866.4	2458	2990	minus	0		
10665	Escherichia virus T4	1258778	0	live	I-TevIII	T4p231	I-TevIII homing endonuclease (defective)	I-TevIII homing endonuclease (defective)			NC_000866.4	138593	138886	minus	0		
10665	Escherichia virus T4	1258777	0	live	segA	T4p042, uvsX.1	SegA homing endonuclease	SegA homing endonuclease			NC_000866.4	23570	24235	minus	0		
10665	Escherichia virus T4	1258776	0	live	3	T4p140	tail protein	tail protein			NC_000866.4	75424	75954	minus	0		
10665	Escherichia virus T4	1258773	0	live	pin	T4p080	peptidase	peptidase			NC_000866.4	46897	47382	minus	0		
10665	Escherichia virus T4	1258772	0	live	49	T4p079	recombination endonuclease VII	recombination endonuclease VII			NC_000866.4	46382	46699	minus	0		
10665	Escherichia virus T4	1258768	0	live	52	T4p264	DNA topisomerase II medium subunit	DNA topisomerase II medium subunit			NC_000866.4	163876	165204	minus	0		
10665	Escherichia virus T4	1258765	0	live	b-gt	T4p043	b-gt beta glucosyl transferase	b-gt beta glucosyl transferase			NC_000866.4	24400	25455	minus	0		
10665	Escherichia virus T4	1258761	0	live	rIII	T4p213, 31.-1	rIII lysis inhibition accessory protein, rapid lysis phenotype	rIII lysis inhibition accessory protein, rapid lysis phenotype			NC_000866.4	130785	131033	minus	0		
10665	Escherichia virus T4	1258759	0	live	ndd.1	T4p269	naphthalene 1,2-dioxygenase	naphthalene 1,2-dioxygenase			NC_000866.4	166101	166316	minus	0		
10665	Escherichia virus T4	1258752	0	live	rpbA	T4p052, 45.1	RNA polymerase-binding protein RpbA	RNA polymerase-binding protein RpbA			NC_000866.4	32659	33048	minus	0		
10665	Escherichia virus T4	1258741	0	live	frd.1	T4p240	DUF5417 domain-containing protein	DUF5417 domain-containing protein			NC_000866.4	145762	146004	minus	0		
10665	Escherichia virus T4	1258739	0	live	49.1	T4p081	gp49.1 conserved protein of unknown function	gp49.1 conserved protein of unknown function			NC_000866.4	47366	47521	minus	0		
10665	Escherichia virus T4	1258737	0	live	ndd	T4p268, D2b	naphthalene 1,2-dioxygenase	naphthalene 1,2-dioxygenase			NC_000866.4	165585	166040	minus	0		
10665	Escherichia virus T4	1258736	0	live	mobE	T4p233, nrdB.2	MobE homing endonuclease	MobE homing endonuclease			NC_000866.4	139991	140416	minus	0		
10665	Escherichia virus T4	1258731	0	live	mrh	T4p026	Mrh transcription modulator under heat shock	Mrh transcription modulator under heat shock			NC_000866.4	14191	14676	minus	0		
10665	Escherichia virus T4	1258729	0	live	ipII	T4p121	IpII internal head protein	IpII internal head protein			NC_000866.4	65416	65718	minus	0		
10665	Escherichia virus T4	1258726	0	live	denB	T4p276	DenB DNA endonuclease IV	DenB DNA endonuclease IV			NC_000866.4	167103	167660	minus	0		
10665	Escherichia virus T4	1258725	0	live	40	T4p040	gp40 head vertex assembly chaperone	gp40 head vertex assembly chaperone			NC_000866.4	22049	22393	minus	0		
10665	Escherichia virus T4	1258715	0	live	alc	T4p227, unf	Alc inhibitor of host transcription	Alc inhibitor of host transcription			NC_000866.4	135772	136275	minus	0		
10665	Escherichia virus T4	1258712	0	live	tk	T4p106	thymidine kinase	thymidine kinase			NC_000866.4	59763	60344	minus	0		
10665	Escherichia virus T4	1258707	0	live	nrdA.1	T4p235	DUF4326 domain-containing protein	DUF4326 domain-containing protein			NC_000866.4	142671	142997	minus	0		
10665	Escherichia virus T4	1258698	0	live	55.1	T4p066	gp55.1 hypothetical protein	gp55.1 hypothetical protein			NC_000866.4	40193	40456	minus	0		
10665	Escherichia virus T4	1258694	0	live	regA	T4p048	translational repressor RegA	translational repressor RegA			NC_000866.4	29972	30340	minus	0		
10665	Escherichia virus T4	1258691	0	live	uvsY.-2	T4p185, W.1	DUF2685 domain-containing protein	DUF2685 domain-containing protein			NC_000866.4	114496	114663	minus	0		
10665	Escherichia virus T4	1258690	0	live	mobD.4	T4p101, tk.-6	molybdopterin-guanine dinucleotide biosynthesis protein MobD	molybdopterin-guanine dinucleotide biosynthesis protein MobD			NC_000866.4	58352	58534	minus	0		
10665	Escherichia virus T4	1258686	0	live	e.3	T4p126	sulfurtransferase	sulfurtransferase			NC_000866.4	67957	68319	minus	0		
10665	Escherichia virus T4	1258683	0	live	35	T4p250	gp35 hinge connector of long tail fiber, proximal connector	gp35 hinge connector of long tail fiber, proximal connector			NC_000866.4	154687	155805	plus	0		
10665	Escherichia virus T4	1258681	0	live	ac	T4p266	Ac acridine resistance protein	Ac acridine resistance protein			NC_000866.4	165342	165497	minus	0		
10665	Escherichia virus T4	1258673	0	live	stp	T4p267	Stp activator of host PrrC lysyl-tRNA endonuclease	Stp activator of host PrrC lysyl-tRNA endonuclease			NC_000866.4	165505	165585	minus	0		
10665	Escherichia virus T4	1258671	0	live	frd	T4p239	dihydrofolate reductase	dihydrofolate reductase			NC_000866.4	145109	145690	minus	0		
10665	Escherichia virus T4	1258669	0	live	cd	T4p217	dCMP deaminase	dCMP deaminase			NC_000866.4	132118	132699	minus	0		
10665	Escherichia virus T4	1258664	0	live	31.1	T4p215	SH3 beta-barrel fold-containing protein	SH3 beta-barrel fold-containing protein			NC_000866.4	131573	131881	minus	0		
10665	Escherichia virus T4	1258663	0	live	tk.4	T4p110	macro domain-containing protein	macro domain-containing protein			NC_000866.4	60922	61389	minus	0		
10665	Escherichia virus T4	1258658	0	live	vs	T4p111	Vs valyl-tRNA synthetase modifier	Vs valyl-tRNA synthetase modifier			NC_000866.4	61386	61733	minus	0		
10665	Escherichia virus T4	1258655	0	live	nrdD	T4p076, sunY	anaerobic ribonucleoside-triphosphate reductase	anaerobic ribonucleoside-triphosphate reductase			NC_000866.4	43535	46385	minus	0		
10665	Escherichia virus T4	1258653	0	live	vs.1	T4p112, vs.2	transglycosylase SLT domain-containing protein	transglycosylase SLT domain-containing protein			NC_000866.4	61726	62271	minus	0		
10665	Escherichia virus T4	1258646	0	live	SegG	T4p244, 32.1	SegG homing endonuclease	SegG homing endonuclease			NC_000866.4	147909	148541	minus	0		
10665	Escherichia virus T4	1258644	0	live	26'	T4p190	gp26' internal in-frame translation initiation	gp26' internal in-frame translation initiation			NC_000866.4	115802	116089	minus	0		
10665	Escherichia virus T4	1258639	0	live	46.1	T4p055	DUF5487 family protein	DUF5487 family protein			NC_000866.4	34981	35187	minus	0		
10665	Escherichia virus T4	1258633	0	live	25	T4p188	GPW/gp25 family protein	GPW/gp25 family protein			NC_000866.4	115404	115802	minus	0		
10665	Escherichia virus T4	1258632	0	live	goF	T4p009, comC-alpha, go9H	goF mRNA metabolism modulator	goF mRNA metabolism modulator			NC_000866.4	5842	6267	minus	0		
10665	Escherichia virus T4	1258628	0	live	cef	T4p010, M1, comC-alpha.1, mb	cytochrome C biogenesis protein CcmE	cytochrome C biogenesis protein CcmE			NC_000866.4	6267	6482	minus	0		
10665	Escherichia virus T4	1258624	0	live	57A	T4p138	gp57A chaperone for tail fiber formation	gp57A chaperone for tail fiber formation			NC_000866.4	74407	74649	minus	0		
10665	Escherichia virus T4	1258620	0	live	dsbA	T4p247	double-stranded DNA binding protein	double-stranded DNA binding protein			NC_000866.4	149509	149778	minus	0		
10665	Escherichia virus T4	1258618	0	live	rIIB	T4p278	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein			NC_000866.4	167965	168903	minus	0		
10665	Escherichia virus T4	1258616	0	live	dexA.2	T4p016	dextranase	dextranase			NC_000866.4	9143	9388	minus	0		
10665	Escherichia virus T4	1258609	0	live	nrdH	T4p072	NrdH glutaredoxin	NrdH glutaredoxin			NC_000866.4	41805	42113	minus	0		
10665	Escherichia virus T4	1258606	0	live	denV	T4p120	DenV endonuclease V, N-glycosylase UV repair enzyme	DenV endonuclease V, N-glycosylase UV repair enzyme			NC_000866.4	64939	65355	minus	0		
10665	Escherichia virus T4	1258605	0	live	dexA	T4p014	3'-5' exoribonuclease	3'-5' exoribonuclease			NC_000866.4	8225	8908	minus	0		
10665	Escherichia virus T4	1258603	0	live	30.1	T4p203	DUF3045 domain-containing protein	DUF3045 domain-containing protein			NC_000866.4	127205	127474	minus	0		
10665	Escherichia virus T4	1258600	0	live	vs.6	T4p117	autonomous glycyl radical cofactor GrcA	autonomous glycyl radical cofactor GrcA			NC_000866.4	63557	63919	minus	0		
10665	Escherichia virus T4	1258595	0	live	ipIII	T4p122	IpIII internal head protein	IpIII internal head protein			NC_000866.4	65834	66415	minus	0		
10665	Escherichia virus T4	1258593	0	live	rIIA	T4p001	rIIA protector from prophage-induced early lysis	rIIA protector from prophage-induced early lysis			NC_000866.4	12	2189	minus	0		
10665	Escherichia virus T4	1258592	0	live	srh	T4p025, dda.9, modA.5	Srh transcription modulator	Srh transcription modulator			NC_000866.4	14013	14216	minus	0		
10665	Escherichia virus T4	1258590	0	live	4	T4p142, 50, 65	head completion protein	head completion protein			NC_000866.4	76885	77337	minus	0		
10665	Escherichia virus T4	1258588	0	live	39.2	T4p008	gp39.2 hypothetical protein	gp39.2 hypothetical protein			NC_000866.4	5702	5839	minus	0		
10665	Escherichia virus T4	1258584	0	live	nrdC.11	T4p095, tk.-11	nucleotidyltransferase domain-containing protein	nucleotidyltransferase domain-containing protein			NC_000866.4	55435	56445	minus	0		
10665	Escherichia virus T4	1258583	0	live	55.5	T4p070	gp55.5 conserved protein of unknown function	gp55.5 conserved protein of unknown function			NC_000866.4	41178	41471	minus	0		
10665	Escherichia virus T4	1258581	0	live	nrdG	T4p074, 55.9	anaerobic ribonucleoside-triphosphate reductase activating protein	anaerobic ribonucleoside-triphosphate reductase activating protein			NC_000866.4	42446	42916	minus	0		
10665	Escherichia virus T4	1258577	0	live	rnh	T4p248, das	RnaseH	RnaseH			NC_000866.4	149787	150704	minus	0		
10665	Escherichia virus T4	1258576	0	live	45.2	T4p053	protein GP45.2	protein GP45.2			NC_000866.4	33058	33246	minus	0		
10665	Escherichia virus T4	1258570	0	live	mobC	T4p075, 55.10	HNH endonuclease	HNH endonuclease			NC_000866.4	42906	43538	minus	0		
10665	Escherichia virus T4	1258561	0	live	ipI	T4p136	IpI internal head protein	IpI internal head protein			NC_000866.4	73591	73878	minus	0		
10665	Escherichia virus T4	1258560	0	live	inh	T4p182, hoc.1, lip	Inh inhibitor of prohead protease gp21	Inh inhibitor of prohead protease gp21			NC_000866.4	111327	112007	minus	0		
10665	Escherichia virus T4	1258558	0	live	mobD.5	T4p102, tk.-5	MobD.5 hypothetical protein	MobD.5 hypothetical protein			NC_000866.4	58534	58722	minus	0		
10665	Escherichia virus T4	1258557	0	live	1	T4p139	deoxynucleoside monophosphate kinase	deoxynucleoside monophosphate kinase			NC_000866.4	74649	75374	minus	0		
10665	Escherichia virus T4	1258553	0	live	imm	T4p045	superinfection immunity protein	superinfection immunity protein			NC_000866.4	26373	26624	minus	0		
10665	Escherichia virus T4	1258552	0	live	26	T4p189	gp26 baseplate hub subunit	gp26 baseplate hub subunit			NC_000866.4	115802	116428	minus	0		
10665	Escherichia virus T4	1258546	0	live	e.4	T4p127	sulfurtransferase	sulfurtransferase			NC_000866.4	68301	68693	minus	0		
10665	Escherichia virus T4	1258538	0	live	imm.1	T4p046	iduronate sulfatase	iduronate sulfatase			NC_000866.4	26636	27013	minus	0		
10665	Escherichia virus T4	1258586	0	live	5.1	T4p147	hypothetical protein	hypothetical protein			NC_000866.4	79721	80215	plus	0		
10665	Escherichia virus T4	1258654	0	live	T4s001	T4s001	miscRNA				NC_000866.4	70908	71046	minus	0		
10665	Escherichia virus T4	1258626	0	live	T4s002	T4s002	miscRNA				NC_000866.4	71053	71171	minus	0		
10665	Escherichia virus T4	1258711	0	live	rI.1	T4p105, mobD.9, tk.-1	rI.1 conserved hypothetical protein	rI.1 conserved hypothetical protein			NC_000866.4	59508	59720	minus	0		
10665	Escherichia virus T4	1258701	0	live	5.3	T4p149	gp5.3 conserved hypothetical protein	gp5.3 conserved hypothetical protein			NC_000866.4	80621	80791	plus	0		
